Total supply:  1000
############## Round 0 ##############
Account: 0xb5cCD5A5962220b23DE8BB5a54078e0288720255, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2107005766395751300, Bid count: 0
Account: 0x2A5F8Ec58AA3dd90CD90DBFb124C9e6186ED57d8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1398293014929935500, Bid count: 0
Account: 0xebBe76FeEd9479E98ba38e972Ed0a25296BC379a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1990972381295591700, Bid count: 0
Account: 0x074132C123F761aB25a4B665e927300Ce9def673, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4669254184708810500, Bid count: 0
Account: 0xf3166BC9d8f78Cb56e33D91Bc6336BebB78be981, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2074713191279887000, Bid count: 0
Account: 0x1EE2b3679AAafc8499e086C25b5d3D0269E30dCa, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1936336821711244200, Bid count: 0
Account: 0x2DaC98762b52955F3bC67315D8fe7d55E033e08a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1727448457044952000, Bid count: 0
Account: 0xad0AF3af67c9F1100caf06D043eCDeBc14d8A369, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1632377737422568800, Bid count: 0
Account: 0x269F255fCaC28a83316e935c2f9655b1D7966189, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3086304877103708000, Bid count: 0
Account: 0x43d98F5586D86183D66bAACDA86a2fE89baa0e1a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1821395866777228500, Bid count: 0
Account: 0xdEe6ccE9F72dAdAaA3B3b3ee0489301e30c6533C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2111813275375015000, Bid count: 0
Account: 0xa2a742B74f49fC9ba0F76f3f573480e2F265a11a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2879657094477990200, Bid count: 0
Account: 0x455B9cD154a23beF38440aee6D83762EE32257eb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2507878738435719500, Bid count: 0
Account: 0xdAC1c3Ea78EA8700B77A17e7a1fD2d11d1e7FB8F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2707863987669259000, Bid count: 0
Account: 0x6492791a05581f328A5aC8d846Fd97BE6f4a2030, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4005233078788626000, Bid count: 0
Account: 0x3092186d3CD29d1447Ded1B35b5135507f43132F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2957580258523089000, Bid count: 0
Account: 0xd1EBDe4f15fc0a335337db12cFfe2C94fAca5768, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1493318440980504500, Bid count: 0
Account: 0xDa4211139c7e899965B1A02a5c1fe83F720fD465, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3811804473869627000, Bid count: 0
Account: 0xC83011A3A5Ae1c71a2312CDEbecf5a8a11372947, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2128315778199906500, Bid count: 0
Account: 0x26dEF6Ece20594920ACe3061084e9bA2fF20e981, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2399992047592390600, Bid count: 0
Account: 0xE4FFb27fC410b816EC043853491f698959Efae42, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1184547099981181400, Bid count: 0
Account: 0x7f2baC982F97E5112f6930DE13241eaae3415343, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2363460323175675400, Bid count: 0
Account: 0x806807a3d3F35825bf54D841f144750cc167AF9F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3322564567089121300, Bid count: 0
Account: 0xA896668509b1C004cE049942Cfe26BCD8D2A7959, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3475947720117759800, Bid count: 0
Account: 0x8Ec837CcfE10F5e9FD782C88F508025c0D26e77e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2171109643266652000, Bid count: 0
Account: 0x0C72DDC59C13de274A788eaaF2E4806C652162Ca, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3798053639369303000, Bid count: 0
Account: 0x6BB89d83F9da761dD10c816Cd77d44cE441e1D1C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2353534228762719700, Bid count: 0
Account: 0xe72114d0Bf75D0b785a57fd641816790274d2951, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2341590835387279400, Bid count: 0
Account: 0x56e18899Ac0536AC0e7C3f32D311037ab16b6903, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1393340716227160300, Bid count: 0
Account: 0x40D4f60468198088406975E1A74A65770C27205e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1281401952304440000, Bid count: 0
Account: 0x9a947F6D2393475509c1bE2Eb568b5c47F36c3b8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1698515697670235400, Bid count: 0
Account: 0xf2823C47B79F3424505a33b3594F4E21616C3987, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1888526700491016200, Bid count: 0
