Total supply:  1000
############## Round 0 ##############
Account: 0x13b9046103a5b724BdeDEC6E86aB71c591CBF919, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1843967951835268000, Bid count: 0
Account: 0x604b75A0af99b9308B18D5d08d10f82dE2db4b14, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3629441335823879000, Bid count: 0
Account: 0x4c5900E7D1D2962684B66cA283be69524AB8f9Da, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2838836411337463000, Bid count: 0
Account: 0xB1CEfaEf4C152d171Dd329d3Ea13C20c6F33DFF3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1637225635504561300, Bid count: 0
Account: 0x64634c0dFAc5a1029Bcc67D55bB712B9B91C4a2c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3368999930490254700, Bid count: 0
Account: 0xaC0BfAf561ebB612c8F3281dfF2Fc36E5546842a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2779963913741265000, Bid count: 0
Account: 0xc31D3c23A1CB278B153BF1F205802903C27E7160, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3233899002000654000, Bid count: 0
Account: 0x9C1820e8dd30ddf35F050851aFA5c4715A242AAb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2000208489649402600, Bid count: 0
Account: 0x3264f06b459717822c24e6945927062Cf01c5807, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3628819981326832300, Bid count: 0
Account: 0xFEB38a389B6840D4533eF0122ffE961E304dC2c9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2339381916116600000, Bid count: 0
Account: 0xFBF383d962Ee6D83CdCd51ABD5EF7dD00ed653aC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1537182426848191500, Bid count: 0
Account: 0x56B1e1C9cdAE1548b161f6e4Fd7c23B2a801c0De, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2064472795999243700, Bid count: 0
Account: 0x79941bbe4bF209f993990a715DC517FBa985907A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2985868519851736700, Bid count: 0
Account: 0x5f4575572788eaFafF8ccb50c57Fc7EbE9178d8d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3896170050180692600, Bid count: 0
Account: 0xceC88d3de5245db87aC53b70dD705096138003Bf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1746659909063583700, Bid count: 0
Account: 0xa06FD64556feecbDc6348Cc15d8EFA3F04d1137D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3192280146815812600, Bid count: 0
Account: 0xA3c519034f7A83FD2B0773B007D91c070c43C778, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2806758337649503300, Bid count: 0
Account: 0x976798C36f6b40FB3c0Ba6e111B0EB3e8D5Ee86c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2663305145618040500, Bid count: 0
Account: 0x61b30da6BE5eB5E42C7753090fD11F657D1257cB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2940806320314102600, Bid count: 0
Account: 0xc814c21D798Aa73977Be271D97b6dF4dC6c16bBC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2440759021178152000, Bid count: 0
Account: 0x4EdDAC83159eA4fe133c08C7CF3cA8195A53853e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1586969788589052400, Bid count: 0
Account: 0x017314988Bd0804Ddf1541DAa3DEB0AEb4D61ceb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2499803210334621700, Bid count: 0
Account: 0x76f69238285B9F3994091bb62E28207B7872fb81, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3318826401344912000, Bid count: 0
Account: 0x05fa2db12889dC9EbA55DE0973f4B9714c1c7854, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4103209042276333000, Bid count: 0
Account: 0x2dE07E32b6Aa78dCc17b49690c3384e77DF96e23, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1223438618987735000, Bid count: 0
Account: 0x14DFf69b80AAF99c27Fea4332C3f8fE6F2026248, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2252427071957535400, Bid count: 0
Account: 0x315190D0308C61A5Ca562C6b7B16e04EE1410fB7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2371240736365883000, Bid count: 0
Account: 0x0E44dDb3F7E7be8Cb1b2e2AFC3dAf9c7Cf7aEd99, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2453351535071212300, Bid count: 0
Account: 0xAc4fc9CE5e1edd6AEd00B42791dc365aB3762b6B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3032764019413308000, Bid count: 0
Account: 0x59C9393766982EAd0a9a8795A56149eC45EF3b30, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2398974377355404600, Bid count: 0
Account: 0x6897CDB58Fbc9715D3f5E55a7b2f0bcB41A509a5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2150656488006179000, Bid count: 0
Account: 0xd87Efb346C5Dcd713fcaEdF6d23Bf4A532AD14C1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2273400409098291800, Bid count: 0
Account: 0x638D25adE299d8A177226A3118a4DeE4Efe27d0F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3135512479336495700, Bid count: 0
Account: 0x0DF1DF1fF3D4A26F0AA31DFc6FAdD8b26c16Bb85, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5228892051480885000, Bid count: 0
Account: 0x3470b3bd76DFD7720BB831064bF0c8f7FdC3B026, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2148505851521979300, Bid count: 0
Account: 0x3934BDB29d0bE0542AE6541C20f347C9e8BF4bd5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3422655758555225500, Bid count: 0
Account: 0xB5896fefCe03b81E7a88976d92352319e01c6101, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1443994156105146000, Bid count: 0
