Total supply:  1000
############## Round 0 ##############
Account: 0x48144088b185472C7F8E53acD86048797699D988, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2284213047207089000, Bid count: 0
Account: 0x0485A62654853aFdfD48fe1B9Ed6D164Cb2f7aD4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2145945395986331000, Bid count: 0
Account: 0x35521Afc0d79d587BE1Ab574BD47a05Dcdd44557, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4081912432980809000, Bid count: 0
Account: 0xA7067d3542540711a71040CF668b17e288333E48, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4793958239569794000, Bid count: 0
Account: 0xa3a5d23682b9F907ae3f8AFb181dcBB128171384, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2090239059585092000, Bid count: 0
Account: 0xB3e061F83da6aF5bd96c8BFDC3bB639B9eC4Cf33, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2628678009549912700, Bid count: 0
Account: 0xc56E7c998fEe75151913D7d52C394CCe9C47E38d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1668578766358732100, Bid count: 0
Account: 0x5070600bcFE559E9e31FdDA5b97Fbd881409f015, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3068366277842166000, Bid count: 0
Account: 0x31591e525fC306e204DC389Fa7b233FdEC8dDFB9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2493072133736823000, Bid count: 0
Account: 0xDD23e38a9c9Eeea74793F7a4Eb9D93438b4Ee428, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2993800992414014000, Bid count: 0
Account: 0x4C5C480e45e37F4270DDdd5B2cb78F94eC19c54F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2170404314221874000, Bid count: 0
Account: 0x155AAF7C569234f8991eF93f663fBE8d90B5c98a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3835953534755178800, Bid count: 0
Account: 0xcCFDF8CaE25d678B370B49c461b43f999b2FcEfB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2968197219283483000, Bid count: 0
Account: 0x1EB7897ecAD0541B7361e2F08207Ed433c057A3f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2605332861438928400, Bid count: 0
Account: 0x3c726Bda7DB3305a32659bD2323E237D6271018E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1747606400811516400, Bid count: 0
Account: 0x469D1D82a1b7cB0A8eE026BcF7402Aec21407818, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2272289082322672000, Bid count: 0
Account: 0x5D1863d92F6DB8eA47aa78b9984b3748D42f6bdC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3170989991045281000, Bid count: 0
Account: 0x1A8d8D271FB32e9ADE45Cae44301C6Ce347d0AAE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2929891680709939500, Bid count: 0
Account: 0x24e620c8d6CD2e48802AF2Eb766555Db17e6e349, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1871972056500199600, Bid count: 0
