Total supply:  1000
############## Round 0 ##############
Account: 0x873019bEcC180c60EA5A4013082D8fFDb76cE11D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2429182676660736300, Bid count: 0
Account: 0x7Bd0dc5a59DD5fA6c5F56F5eFC2f0b7ec3F52eb2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3054416187112092000, Bid count: 0
Account: 0x101aCD59f02A2B4AA176a95D8a7174d19D04ee91, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4495425488697481000, Bid count: 0
Account: 0x9381D28449EE17Db38aB71F800Da725cb3E83Df3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2517161593366006000, Bid count: 0
Account: 0x395c256E176a13Df479d2acAc3dDF84829E16A63, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2754311210721595200, Bid count: 0
Account: 0x00108E5f2A0d6eaF9CB9aA18956Dd5A7dE8DDdC8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2115835110615898400, Bid count: 0
Account: 0x5c5860Eaa34703412ff18c00393c4EBf779193F4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1516134591804476600, Bid count: 0
Account: 0x8d35ca6ba6071D8E07d45C4FfD76332d0bce488d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2770644199708555000, Bid count: 0
Account: 0xAA260B02CDc937eb11fC35509CF7d38Bcef0F859, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3705182184818405700, Bid count: 0
Account: 0xED7E4eDA6f8ED0Be222420126C89a54764DD54a4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4152101763553760000, Bid count: 0
Account: 0x31F86C809b0A044D78eFB41dd8126eA0a461f659, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4893879120258767000, Bid count: 0
Account: 0x0541bDEeDDE7C58d3e26Aebd9e5Fd570dbEB8F31, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2236722787759285200, Bid count: 0
Account: 0x671d58C58B0bA46131d2aea852ad9D422B30f2F6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2557903647395517200, Bid count: 0
Account: 0xC60E19DDdC6f0085eb91aca4770C0Ad974B5A3D2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2647325374459169400, Bid count: 0
Account: 0x820Ef49e33b3F0904f4317Cc20bCB36d6b089F8E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2016148069342852600, Bid count: 0
Account: 0x82cb4E3DbCdB12CbCA642917c1F98EE6dDC002f8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1701623016394754600, Bid count: 0
Account: 0x9E4d1a82b71Ae4d964c2bAcfC26Efefe8aeb6058, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1688693871316052600, Bid count: 0
Account: 0x853e6872cA8190736CA979a6B166a2560D2E9Ae0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3182312696068257000, Bid count: 0
Account: 0xFbfa2055C7d25154F87aa4C29B26D8e881593F76, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3341783212854429600, Bid count: 0
Account: 0xE005ae858373d2e7B6e44b51632cb209610fd243, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2342978801398274400, Bid count: 0
Account: 0xe8E5a928071185E8aCf367661226bD556eE4c23a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2979069099197402700, Bid count: 0
Account: 0x74D6Ed95003d765eF8e945bc49af7A84C78fE5eB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1710145302006742500, Bid count: 0
Account: 0x24E51e45d7a1323A93aA2f675a3c052739C4124C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1439166699916610800, Bid count: 0
Account: 0x0E60eC57DfB73feB7dAbb4E8Ba3Ba3F60C9872ff, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2304428154105894000, Bid count: 0
Account: 0xF5d10a22315f3210345750c08cb67fb62c3cc874, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2722265318401778400, Bid count: 0
Account: 0xb86B8dae5c122C3d83835401f267740Fc2bf3686, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3171323995756421400, Bid count: 0
Account: 0xa21903a010822571693da6f8175Ce73EbdDd8d3A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1979180375034990600, Bid count: 0
Account: 0x5250835D7E9c2b8Ef765D60512ec0a03285444F5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4030002966415029000, Bid count: 0
Account: 0x79ABa4E3a11C66e2a16489f77A113664790d61a5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3840913375633079000, Bid count: 0
Account: 0x99081656603d38d349459Db589706A192afbF96a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2625334940385650700, Bid count: 0
Account: 0x7e32b685Cb74Fad1df1a4C8B418cFb9183521f3C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2398942725125701600, Bid count: 0
Account: 0x4B9AF18473688B0E9E2e2F2d87181C89F5d8F7eb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2773188966027641000, Bid count: 0
Account: 0x94c621f39a4a490Ed3186939C2a93Ec47439AD76, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2673821396683435000, Bid count: 0
Account: 0xfE737dCF7205b76BBBCFb82222C88172CF2b3d15, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1590184326909713100, Bid count: 0
Account: 0xd2e0524740Da81707080413813d564c9435E31f4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3036555469403167300, Bid count: 0
Account: 0xB5f6C6334C32335821EBDb54F0a2368E5dE3a22f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2326891782639467000, Bid count: 0
Account: 0xF5b73D00b74f2f15454736Aa95155aF4864ec140, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1598833131818079000, Bid count: 0
Account: 0x7Ae19456f828701B7c326A45740f73ba88162E57, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2835775895248146700, Bid count: 0
Account: 0x1412e54E3485aE4B0c88f4a438fcC9B41A669886, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2656084071121314500, Bid count: 0
Account: 0x83242b3e140363211D8607E5D357015276D7dd6a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3226193876714232000, Bid count: 0
Account: 0x367FD97Ff19F2F45620a69C9dfe4f446F9836F4b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3276499170415980000, Bid count: 0
Account: 0xD56F036c8255e85989993FFd58e7d59aD1C6AB58, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1969249560137910300, Bid count: 0
Account: 0x5b0203DB669A51845D98eDa5Ecc6Ad29219B658f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1340098866107082500, Bid count: 0
Account: 0x03b3b365677739648e23819bc11103A9B79B02f3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1378640095801180600, Bid count: 0
Account: 0x818979285ab94649EC7f4B585e7d3a7d8dc136F9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1494270906757230600, Bid count: 0
Account: 0x1B45673ed4306D78AFC7973C0372C40542E6E533, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2202534771507369000, Bid count: 0
Account: 0x2c061Cac550DBb52F1f001cccBB72daA91b65FB6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1665718454241310000, Bid count: 0
Account: 0x432EBe9fD81760034EcaA05527B78534a5F816B7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1797507443071159700, Bid count: 0
Account: 0xb2E27f29566dC4Db3549A521e449f5A39470BE1f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2842363002258573500, Bid count: 0
Account: 0x4c163FFf45df311028296Bf4E1252a2E8dAC2403, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2159649150016179000, Bid count: 0
Account: 0xe9b59d4AF6b0563D7a432c579E9808c4a4f44DF3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2749006143942549500, Bid count: 0
Account: 0xCE7F7bA92E7e56dfc465d168df5FC177d70C8D02, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1697139971275747300, Bid count: 0
Account: 0x71D4270B3caafCc611262A15180cbc2cd1a9803B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1931841707889411500, Bid count: 0
Account: 0xda9D8B5f1AdA77cBB8C51f0Daa142C28487E006D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2423238196938275500, Bid count: 0
Account: 0xBE0334608fb949Ba461Af14397539488C9C37D10, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2109557949499817000, Bid count: 0
Account: 0x9De318b57B6fF0d3D1d251F49cDD96eF384c1F75, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2170187724559199600, Bid count: 0
Account: 0x32151F02095fc0c2e431BC7220f01e97E890f1F4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1987981549821076700, Bid count: 0
Account: 0xccE2FE823dE63474149Ce0881034Be313D42142C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2645831682386311700, Bid count: 0
Account: 0x7609368CE561c3A2f7D4C4d6CDc9b02A47ac4E02, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2526954600849017600, Bid count: 0
Account: 0x6F763670EcC9E31C5979dC24064f8A29699Bb997, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2361136894181165200, Bid count: 0
Account: 0x090d1c57BadeB54ad90d90B66781c5454Ae27cCb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1637283487337485000, Bid count: 0
Account: 0xeC0aeAC7948dBe32BF9Bf851b828eD5a2237D59C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2160599814585649500, Bid count: 0
Account: 0x5b75D9B0f11E420ba7ec1baC0e1cE88938ad5b67, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2448263030060696000, Bid count: 0
Account: 0x9492180b315eF1DeF9650FA91c6d574F82778AaC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2416131742932451600, Bid count: 0
Account: 0x597ff4702dD64689F9A86CCf6f6e506dDEC9b499, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1474673358337747200, Bid count: 0
Account: 0xD4633FAB25722a94ec5ecAd93B5978957D55605C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1745497582568182900, Bid count: 0
Account: 0xfE484B8Eb7958bff07190DAf2a6AA07AdBf955A8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3457432490252885700, Bid count: 0
Account: 0xe2bb0899202E7756c4cDbF92596254B6055f597f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1660494051665674300, Bid count: 0
Account: 0x7bB78E283a39Ca5785AE05195b94e01D3412BA22, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2482508855611836000, Bid count: 0
Account: 0x141Ae005d876948A04dC227e5508Fa5Ee1aDB019, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3738497528035871700, Bid count: 0
Account: 0x8C4E35F55cEd21AAB3dd52E91F92FE9678D80978, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2710943033393881000, Bid count: 0
Account: 0xbB0cbe45D94C0d34699aB8A1f4481223Ca8A28e7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1217871453429756000, Bid count: 0
Account: 0x56ca782dd9dfC06B69293048Df9fA1D23DdBcE08, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3223312634049453000, Bid count: 0
Account: 0x3bD3F64680DbA67FBF26b96647754D6C777AF111, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3649506603827057400, Bid count: 0
Account: 0x5213C21371D684C9Ec06F65aA4223ae35c9bb069, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6038732841876123000, Bid count: 0
Account: 0xE5d82B7A4D142C0553Bd8D935103d15C505190bB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1765358589619114800, Bid count: 0
Account: 0x68eD0f69769153446078E43b9811e735544789e1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2329322965874632000, Bid count: 0
Account: 0x3b337215202D5Fa32521B56fcb36B7F194D99E3E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4430528325847998000, Bid count: 0
Account: 0x34FD108022ad8514217BE6a504858474a692763D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3398599748324505400, Bid count: 0
Account: 0xb03A8938c9008f3B2d5649a92956f6Dc772D99Ee, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3373239192602141200, Bid count: 0
Account: 0xF6B7fA1F6A0268D2c7BCD60A5cD9D9068AE2dbB4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2980038259597531400, Bid count: 0
Account: 0x46BdaC30d00Fec48072484e886544999A969F097, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1333187676397316500, Bid count: 0
Account: 0x4E9199C9FeE60432F27695e8247E0255Edbc16a0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1846151797980776400, Bid count: 0
Account: 0x3aEB904B1F1b3FFaC8657817FB4bDf73F3a5De3d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1568484155397447100, Bid count: 0
Account: 0xD0e677F961875f4c05d84d523CE84556Df7FF5bb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3124852442346271400, Bid count: 0
Account: 0x2Cf7480fD2746Ed3216dd529c9e33BCf7887aaEA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3531848663952025500, Bid count: 0
Account: 0x841FD74E43A5274c44ba0c4D737fc46Cd84281a4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2414405355809602000, Bid count: 0
Account: 0x1568eDAE76957F568BB66d1D9a84DEd88597E57f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1286528911198840700, Bid count: 0
Account: 0x208BE42A6e9d86BFB9e3643B32935E1EbDfFCe74, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2831911295338200000, Bid count: 0
Account: 0x2DCD3B7b0842D5C927348a57911A1D501E14Eb24, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5189260548991312000, Bid count: 0
Account: 0x5AA00977a1D67d67f9EEA4EafdB3fa0eBBCd5268, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1550435784809072600, Bid count: 0
Account: 0x3a6746Aadacd7C2F273Faf623C53Aaa807fEB106, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2508104764245777700, Bid count: 0
Account: 0x1a89E52DD15D271Dc1704eFcf58adCC2c3bc2d1e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2404321347868880300, Bid count: 0
Account: 0xEd67c1cA4F42b348E84463437ac00C2DfB6380b9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1194374052252350500, Bid count: 0
Account: 0x702f1135cA905e3A96D5f0A6f2A2b92905f4bAA1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1159611955371213600, Bid count: 0
Account: 0x6533B53bCB1CbDf4AA4E1fA755a2efaF0fBBc8aE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3617966213746052000, Bid count: 0
Account: 0x31fa9764cB076B2aEE9AF654cA718fD98FD29596, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2132211806441517000, Bid count: 0
Account: 0x535569a898BB973cae8349565E82c4df8d8A0aFf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2647609330872407400, Bid count: 0
Account: 0x71fea8F6242881Cfb63b9A5B28d3ba135085416D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3877260344148963000, Bid count: 0
Account: 0x8Ea790cD0183fAf4d6ADa675731546610B020ad8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2851063065449606500, Bid count: 0
Account: 0x3c689dBABaEcFdEFc049cFce4d6dc31b2dB32AE2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3817912857150463000, Bid count: 0
Account: 0x5312F8A78c353C2D62D78D80c03C42f949067EFA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4033850405871113000, Bid count: 0
Account: 0xeB4A653926bF94E5931592Eb8c15331cEabB21EC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5556533288912829000, Bid count: 0
Account: 0x30781640394827DF61c8F32227D75ddFA5Ab448C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2373574892492787000, Bid count: 0
Account: 0x2d7d6b19d24CbfD16F231a56945c42B98aa88288, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2486037253252000000, Bid count: 0
Account: 0x3b550CC4dB648Be9CBCbcf0879BC5dF354bE7e3b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2029699664628931400, Bid count: 0
Account: 0x7a448f40f5B2a578721302EA08c21b024595231F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2784775909708832500, Bid count: 0
Account: 0x611fa132Fb0B367575C9bc9b6b1Ec9B48F6356F9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3443957665457154400, Bid count: 0
Account: 0xF79aaF0bDE3B57f78ca1cc799517319DED555C9D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2813357580547105400, Bid count: 0
Account: 0x96Fb4981CE9C10A1fD5B77C48866ef457FD7923A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1988506033325709000, Bid count: 0
Account: 0x8c1f567ebF34555DBfeB3D52B21A904D9a8Df4DB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2191738546899327000, Bid count: 0
Account: 0x7b8026c6849b3a13C2c81Fcd62f6F6772b544E03, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2656778437489719600, Bid count: 0
Account: 0x39f9A87141434999Ae45e734a7045B32F0Af4988, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4543389932679004000, Bid count: 0
Account: 0x83C30C6384A830Bc60CbdDfdF18736d18aBC66c0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4123804549396645000, Bid count: 0
