Total supply:  1000
############## Round 0 ##############
Account: 0x175aEb092Dac319E9634887ce54bdCE20F2ebcD4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2487702348685061000, Bid count: 0
Account: 0x89F57B3FE4B687a252B0016EbFE3375Db5917027, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2568212010680977000, Bid count: 0
Account: 0x1273079019ad0De03C5907CBe46c586e7DcAa790, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2482485737224244000, Bid count: 0
Account: 0x9d4AE28BC6F82534F1aD48CE3626de274211d4e9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2729441256752322000, Bid count: 0
Account: 0x8C8CCebF0D107cd38a956D222B48621d58612995, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2811311735013151600, Bid count: 0
Account: 0x75FCBd1d43f05E523B9902ACa614511661C5c0d1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3267875238002104300, Bid count: 0
Account: 0xd3cC9676348C308B846AB5226c5b7Fa1608432BE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3506182014448044000, Bid count: 0
Account: 0xDb1FF2a954Bc16dDEb89d753Fab56ED36F5e0A44, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1279614603410925300, Bid count: 0
Account: 0x51D171aeD276d8575f2E993EC42249a942822030, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1854576698713782800, Bid count: 0
Account: 0x8c2c346d78895Eba6B89d9807d910013069D7F67, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3293027970039268000, Bid count: 0
Account: 0xA478a5DEbd0E9C3e25F0Fbd7E5496CCeA8C10935, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2562769575419573600, Bid count: 0
Account: 0x8356316E5b1D2db90753046691d1Ea28bCF0AcB1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1417305085136792500, Bid count: 0
Account: 0xd70894C66A060F0eAF3b01efC4279271c1A74971, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4215045768641234000, Bid count: 0
Account: 0xD0691cd099D2D072F3142DB4be362Cb1Dd97526d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2547380174172766000, Bid count: 0
Account: 0xD87CF1cc72b9F689972e968706B7a6e0004bBb85, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3382548524289745000, Bid count: 0
Account: 0x7FC285213964d91801f5F5Be5BE7ad31F37DA344, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3253886883866855800, Bid count: 0
Account: 0x6A1B687d5754cc0fabC426ACB8E72935c6Bc837c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4140568977159590000, Bid count: 0
Account: 0x2C57467632577Ae60643b710aF33019B869B712f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2104200386151239500, Bid count: 0
Account: 0x5a3914e64dB4fb88e493104D9eD62Fa1F2606164, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2448161667426185700, Bid count: 0
Account: 0xbeBC3150D898bc9cEfeDf71c5895FbAe9f6614BA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2108086308383615700, Bid count: 0
Account: 0xeeBF9D5673E37cf81cA1e5E58a2De23e92D97D4B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1944967492577574800, Bid count: 0
