Total supply:  1000
############## Round 0 ##############
Account: 0x8A0cd18A90296c1D7c50eCACb8AA3C799Ee0A902, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1572741729030183000, Bid count: 0
Account: 0xfBB688B30034320F14FD20f14d8edE2b91E8b668, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3349855183726177600, Bid count: 0
Account: 0x51039eBE57F2d12086Ae507435A61da653594b1E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1732775414652440100, Bid count: 0
Account: 0x13C54f1d04Ef59cC1E98BAb33383eA6B504CA928, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3391986391057230300, Bid count: 0
Account: 0xd400a5D1D7c453207b50fE29859CeD66a0691CBC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2416120747122252300, Bid count: 0
Account: 0x469DFd0192320e0cb30EE755A5B97E1297dc857A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2393016305127462000, Bid count: 0
Account: 0xcaF43d00592e56389D79B146696c0bed0258E41e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2116850599961362000, Bid count: 0
Account: 0x19Ca228aAc85fA6ae15c7F78a219856c5126A7Dc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1455651361699798000, Bid count: 0
Account: 0xFcbf1367D066164A4c1002752eff22E5C30C7052, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1991003131453011200, Bid count: 0
Account: 0x9ACdA39EaD19677519AC2e436BbE53049D824B99, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1959573889313595200, Bid count: 0
Account: 0x804Ef02809a73224Bd589ef9778BBA27B7456Cf2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2551216364295743000, Bid count: 0
Account: 0x78D7Ac7452AceBEEDDd1eCe8A97e6193550Ff14B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1937948299931706100, Bid count: 0
Account: 0xd97bDC9816eCEEC8eb35bd566EECA1C5ef130128, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1604506102859106000, Bid count: 0
Account: 0x969C13aa8060e29B0931189D2Cc569e7052369cb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2459460799493905700, Bid count: 0
Account: 0x1AD6F759EE8C6e5B6b87e505772a8F18CB3c1D87, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2110186225064943700, Bid count: 0
Account: 0x34d621a281af314106C910B4f4C8a4E01e3c5Cd7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1812747424736547600, Bid count: 0
Account: 0xf74a4930f72D6C20E83926269faDe53858B408eB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5175400910187868000, Bid count: 0
Account: 0x61eB2fC6380ef6623221675750Fe452D0266165B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2049101760690834000, Bid count: 0
Account: 0x8F32eEEDf0250aD65B5E2ea7d95B0d8625F1a043, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3142224821618470300, Bid count: 0
Account: 0xf1Ce6751906b84E35dC53145C6850175fEb097F7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2612736443725646000, Bid count: 0
Account: 0x2524143EB348993b6260aD440E7e4f11ef631943, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2480882487790214700, Bid count: 0
Account: 0xBb816F37963b74d690f84508243eB1951B2860e2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1354462334579819200, Bid count: 0
Account: 0x0d9eef1FA91623C9a84371374F7311fE7462d97b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3010109521462099600, Bid count: 0
Account: 0x0Fb3d6f45E9bF33a9faDdFeef9Adb5E4706Af405, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1352272550840835000, Bid count: 0
Account: 0x8E28dE0774cBe500320A27ef12A58443e54C6980, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2709487180303973700, Bid count: 0
Account: 0x1a8CB324AF56f896114E1E8D1C3188c6e36c702B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1754480916160766600, Bid count: 0
Account: 0xE836048D473E8a7e3C5810Ab8C18FCC999F04d93, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1477142659433158500, Bid count: 0
Account: 0x7C0e6d5ffb077855AF72f97DC8a9Cd5234457a46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2822472114239234400, Bid count: 0
Account: 0x97799ACdd9AeAB0cb44E5bA81C9564903C7b2421, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3767594928950619400, Bid count: 0
Account: 0x1945B81286F7e00D62a06fbEB994620d9dbAb31C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2382769249895906000, Bid count: 0
Account: 0x41ca31CdEEC78B44F8aE7a56e90415A39ddD0321, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1624014409493370800, Bid count: 0
