Index	Address	Amount	Minted
1	0x13b16ef3b70D4320f630b164DcC5Ca3Ba250ea2F	1.6064521721036367	0
2	0x6bD776050B0640679a1cB7edE978B52c34E42447	2.2754010245522425	0
3	0x7032D6ea4bF57199A11EAbC514689E17bf1d35ea	2.2610249563476468	0
4	0xd0165e1a20c21629ced5de86FA2275347bFdF89D	1.732822872134915	0
5	0xD8A17f3Ac31e224E917db9419111c5DaB135167F	2.044212671275318	0
6	0x78f1f2CF7031b4531E82D9842BD4d22Ece838AA6	1.4559083513113478	0
7	0x2911aBe83C7c0F081213593642A987470509d4d2	4.294099757116902	1
8	0xb14357A3C5d05cc2E4790f4ee73c3BEC0Cd7CBEC	2.5070568497333605	0
9	0x1f0E95fCE5d05f5B8925262E42b673f1c5F67E4d	4.821425073574133	0
10	0x561fD414e34D5F07F327F9B18Aab93135Ec24144	1.395407989838604	0
11	0x3C017c28F05B6D3005fe8807AdFB40FC561a3F62	1.9449116707498173	0
12	0x978490e0f7F9b599a32c49dC63ED8A36d35d6D18	1.4026441474698206	0
13	0x36A8E9ddC3D8053f85a5e166EE34638BD7BEc9b8	1.7355450215623276	0
14	0x98477A42F36891f9ea28c71717876B9c39805ce2	3.8312076013856586	0
15	0x4bAf75dDCC9d9186141EED396f932E9CE9640097	4.0371069979110885	1
16	0x39666cbC94824654c7211570deeE0B090bfC8a45	1.5214430551224867	0
17	0x6F84dEd80aBaBF17e0b08178db8cc455E97554a5	2.630793785240118	0
18	0x058dE6d38B32B1cdcbdba30456D818aa376B013C	1.5767818039055252	0
19	0xBc3b7A5840D088C30988936386a62C8D1Aa0862B	2.4460485720484146	0
20	0x79a6CDBb08EF26850EB9396895B16758eFd5108E	2.5203555400583033	0
21	0x0aa128e37979422798fb725544275F47b248DfcE	1.7797259543873398	0
22	0xEb348e796b00D366974b62580b8Db8303e49993D	4.053024489511865	0
23	0x446B5476F3C6a0b99c1412EC9A0954fA4946EF27	3.432834149350308	0
24	0x2e02D0C0A2A680bD56bb7290163E5d3fC775c698	2.3975569309220814	0
25	0xBAf85723022122d204D8BDA5Cf61acfF8C239A90	1.5750275878803843	0
26	0xDe53F1945D84e1071c061e228b9BF28D40178A40	2.0488651752167044	0
