Total supply:  1000
############## Round 0 ##############
Account: 0x2CD3921E5551798095A0a93768D05f5C0B82e4b9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1853210301251856200, Bid count: 0
Account: 0x0b172754b2C9Be41603c4EC0Ca6386BE43A806E4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3034258228991784500, Bid count: 0
Account: 0xc65552808D83f4CB64c1f3d29f5a803958Af3Df5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1376564323853651800, Bid count: 0
Account: 0x30cED73f02ed6316BA3e61DD25a36141A9982DEB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1806532366049272500, Bid count: 0
Account: 0xD9C4193eC98980E81e0f2Efd0636a00dc0ceace9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4122061917306688000, Bid count: 0
Account: 0x38b948dceA76736e34f66a950523001b90c34028, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2101558317565295700, Bid count: 0
Account: 0x9ca7d6a655EbA34a34CA166292645fb9cBD79E96, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3455246434702953000, Bid count: 0
Account: 0x5c44013b68F2fb8C83dD2bcBB627003d45754258, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4648500568315085000, Bid count: 0
Account: 0x4bd7A9D3048d91dc1d98ABd072a01aF9Bb2b392a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2727497139643892500, Bid count: 0
Account: 0x1a0FeF4C8B3EEc23a43d7567f7D3bcc21Df30dFd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1692978281425577800, Bid count: 0
Account: 0x719bF71ABe7A74F6042d46003a70efdc148dc9a7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2544366271475253000, Bid count: 0
Account: 0x7D77b237c7303D73Bf6CFCBec7d0CdE1cf3fc8d9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3093036037939968600, Bid count: 0
Account: 0x3cbCaAdD8Ee60Ff81A7163a06483D702d7c59865, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2999149315630790500, Bid count: 0
Account: 0x7d1cdb41c6A4422959e726189c56806600BB4EE8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2333080949929854600, Bid count: 0
Account: 0xBAFf8648A4167bABAf8C3aC1607c017876D87D63, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2401365865175953300, Bid count: 0
Account: 0x65e2103C5259F7BA3685C10b6816884c011c797B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1893787637597112800, Bid count: 0
Account: 0xd8b77072f618CE0088641ce1582EA45A01162555, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1489205486111815400, Bid count: 0
Account: 0xEe3E9Ed9082be54D252dD6A396E1D29ca5bf04C5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3337489487811420700, Bid count: 0
Account: 0x0291E14D121E04a8829870b4bBeD2d132bE98387, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1578863869891226700, Bid count: 0
Account: 0xaf216818EF89Cb8e2AfeBDb3F24EDbC445E2Ab7e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1847936572696213000, Bid count: 0
Account: 0xA8EB0A12E96166dd60b18B7542E85870250675b8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1735009428106698800, Bid count: 0
Account: 0x12CEa5e278f5265CDde237c2208c01a8C2F8B126, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2866631816415654000, Bid count: 0
Account: 0xa47F3275A9F69aCFD8f82cE335B0f2E13A9d4f48, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1941792385973910100, Bid count: 0
Account: 0xb80892443Ef44c8216E93Bb73545cd1B51261C28, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1623135889244845500, Bid count: 0
Account: 0xb1D720B098b86B1AE6f8af5cb32ED564f07F44B6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1421020766390422000, Bid count: 0
Account: 0xa9A7B04C354944095B697175BC55C86b8743bf81, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2145048050260436000, Bid count: 0
Account: 0x65334eA9542d3de6aC92Ae320270e7cDB59880d7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2861169695847383000, Bid count: 0
Account: 0x664e44D02f60Cb3B6a27e114231a02A1e468c106, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3116449350073545000, Bid count: 0
Account: 0x96539F11F147F44E63dee288BA898BEC90Fe1884, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3016521686707614000, Bid count: 0
Account: 0x4FE4D1E457a139EddE21D698258Bf5440542946f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1537173018508456700, Bid count: 0
Account: 0x91BCcCCd7225bA96C45e25b77aFcade7Ce0a9739, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4249867516413768000, Bid count: 0
Account: 0x7c3c4fE76E00758790bE0302849a00a07189Ec46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2100726407941622600, Bid count: 0
Account: 0x404159528C4d0dcac390bd3D50e069808646998E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1078307952205908700, Bid count: 0
Account: 0x1708F380ba433579af1A64Bf9cc9294FD6638cDc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1875773264438558700, Bid count: 0
Account: 0x39A82e89Efc2D48551A5666C042efa9BF7Fa83B8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5712556118581381000, Bid count: 0
Account: 0x7d478E82353BbF6AE6d1b95ac2f366D64f2bcF9C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3302601553957334300, Bid count: 0
Account: 0x0934f9fCB49023828225f69E47f04A2471FF7Dff, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2264947247996478700, Bid count: 0
Account: 0xc650d62fc0EAB6de302BC082E5530D191D1caB57, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2185211800525743300, Bid count: 0
Account: 0x9F468443FfaA144456795f9C54dc940dDDf69182, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4821717290069397000, Bid count: 0
Account: 0xAF9A56c24d5038f3742CDc5d2ABafD573c0291d0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2529908263815718400, Bid count: 0
Account: 0x7983A676984dABB70c703247496920B6504423B6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3262208953430951300, Bid count: 0
Account: 0x96794Cd043dC85ca4d7a93d57355c9a198328995, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1225389202490178700, Bid count: 0
Account: 0x1f8Ee05bf53af1dF5d6861799Afa33F2819d6CF5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2596786868313618000, Bid count: 0
Account: 0x40A22B5d29D645FD989F74275f9bBcA9Ea7083f8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1332386287394727400, Bid count: 0
Account: 0x02F47Ceb4dF4A042f815409122D5de4fD8798EfB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2685305113996742000, Bid count: 0
Account: 0xefEc6D334CC6B6E66742473a47B324a5F4b5ab62, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2427071420324108000, Bid count: 0
Account: 0xfe8bd7D45c12aaEbF002a7677Cd1D94f37A10dA3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2000260653654897700, Bid count: 0
Account: 0x139F02176c9fa02590a813123c0553f21e47758c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2790819929524001700, Bid count: 0
Account: 0xC8091622c089ecA318633a0E816A8CC9674c18e3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2881663594908007000, Bid count: 0
