Total supply:  1000
############## Round 0 ##############
Account: 0x7D60697b78519fE1d8F598B674F80F33520187F5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1273368669889529000, Bid count: 0
Account: 0x98d46CbFa3099f7D0DBe5514920aC8c7B1aE7AA3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1613165695198193000, Bid count: 0
Account: 0x99304B17860c2ad4DA61b799872280e8C209E18c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2867611207571491700, Bid count: 0
Account: 0x67B105B4EE83e4d47C206c0Ba1FF23d1a2bc60cf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2002304870922890000, Bid count: 0
Account: 0x2259a19e8ACbefd54A96B9103a40F1E490bE30A9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3670820272845119000, Bid count: 0
Account: 0x3950f6ef699cd24c90a8D25Dc8c297f79F0ac556, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4003628403676847500, Bid count: 0
Account: 0x3121e53B9B5FC3316123C4367785D8701D9Ce03d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2554762071555291000, Bid count: 0
Account: 0xA87D4d95D9Ee39782c289841391da6757c5718a7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3040662976656868500, Bid count: 0
Account: 0xDBe605CB7C97748A383E0560E7954849E851C058, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2909969416654639000, Bid count: 0
Account: 0x5751438f94bc613c905cf6F2A6a6BB5C6C53B204, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2671814073892117000, Bid count: 0
Account: 0xd020E74971F360a4773f1505B6440Dfb6Df93F0A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2970321934182844000, Bid count: 0
Account: 0x8c4E9F60B2223D22e34f300273Ce6467E0ABa2e7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2009272780310262400, Bid count: 0
Account: 0x8fFA299D2d1eB47232fBAA719ef2925228219a75, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3769530204117730300, Bid count: 0
Account: 0x55486E2E6Cd34790cE151A646289382871557ddb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2649002506321341600, Bid count: 0
Account: 0xb0F97C0047b40a5B8a7b40AE7dDFe2f4Ff7E9437, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3613629436673120800, Bid count: 0
Account: 0xc9B6f37fC34141a109181484B60A3ab67e93BcA7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2116324440002283000, Bid count: 0
Account: 0x020d855b06E27Ef3d4261f7083C02A2bB7e78B2B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2764680114092977500, Bid count: 0
Account: 0x2Fd8d8eCFF4b19F2dd467476BA8b29dE1e99f4cb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2180656468355602200, Bid count: 0
Account: 0x2985cE73D18c5780E071EA3920996756c8E12745, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2782644568510744600, Bid count: 0
Account: 0x8eF165CfC358fBB0110B759a2CE0761abB6f23DF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1846978161913624700, Bid count: 0
Account: 0x2580Cd2941802e21dE26c775837cA3E9321666b0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1732649365109161700, Bid count: 0
Account: 0x0e41711b8681E4c618BaCb990DA0DDa5BA36fC6e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1620047031318739600, Bid count: 0
Account: 0xc4021DB47759972A8dCf30995e227f8Cd3b7c4ED, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2424883807193778400, Bid count: 0
